,area of study,course_name,university_name,course_fee,course_link
0,environmental-science,MSc Management (CSR and Sustainability),University of Bristol,"GBP 26,500",https://www.idp.com/global/Categories/University-of-Bristol/MSc-Management-CSR-and-Sustainability/p/PRG-UK-00372965
1,environmental-science,Master of Environment,The University of Melbourne,"AUD 75,816",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Environment/p/PRG-AU-00108775
2,environmental-science,Master of Environment [Advanced Standing],The University of Melbourne,"AUD 37,908",https://www.idp.com/global/Categories/The-University-of-Melbourne/Master-of-Environment-Advanced-Standing/p/PRG-AU-00369142
3,environmental-science,MSc Air Pollution Management and Control,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-Air-Pollution-Management-and-Control/p/PRG-UK-00073089
4,environmental-science,Bachelor of Engineering Technology in Environmental Studies,Cape Breton University,"CAD 48,240",https://www.idp.com/global/Categories/Cape-Breton-University/Bachelor-of-Engineering-Technology-in-Environmental-Studies/p/PRG-CA-00161820
5,environmental-science,Bachelor of Engineering Technology in Environmental Studies (Post Degree),Cape Breton University,"CAD 48,240",https://www.idp.com/global/Categories/Cape-Breton-University/Bachelor-of-Engineering-Technology-in-Environmental-Studies-Post-Degree/p/PRG-CA-00274953
6,environmental-science,Ontario College Graduate Certificate in Environmental Management,Canadore College of Applied Arts and Technology,"CAD 16,034",https://www.idp.com/global/Categories/Canadore-College-of-Applied-Arts-and-Technology/Ontario-College-Graduate-Certificate-in-Environmental-Management/p/PRG-CA-00092071
7,environmental-science,Bachelor of Science - Ecology and Sustainability,Massey University,"NZD 101,310",https://www.idp.com/global/Categories/Massey-University/Bachelor-of-Science-Ecology-and-Sustainability/p/PRG-NZ-00329355
8,environmental-science,Graduate Diploma in Environmental Management (Level 7) [Invercargill],Southern Institute of Technology,"NZD 17,000",https://www.idp.com/global/Categories/Southern-Institute-of-Technology/Graduate-Diploma-in-Environmental-Management-Level-7-Invercargill/p/PRG-NZ-00165831
9,environmental-science,MSc Marine Environmental Management,University of Exeter,,https://www.idp.com/global/Categories/University-of-Exeter/MSc-Marine-Environmental-Management/p/PRG-UK-00356476
10,environmental-science,Graduate Certificate in Regulatory Affairs ? Sciences (Co-op and Non Co-op...,Algonquin College,"CAD 16,292",https://www.idp.com/global/Categories/Algonquin-College/Graduate-Certificate-in-Regulatory-Affairs-Sciences-Co-op-and-Non-Co-op-Version/p/PRG-CA-00211099
11,environmental-science,Graduate Certificate in Regulatory Affairs ? Sciences (Perth),Algonquin College,"CAD 15,845",https://www.idp.com/global/Categories/Algonquin-College/Graduate-Certificate-in-Regulatory-Affairs-Sciences-Perth/p/PRG-CA-00341894
12,environmental-science,Master of Environmental Management - Environmental Management A,The University of New South Wales,"AUD 38,160",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environmental-Management-Environmental-Management-A/p/PRG-AU-00337261
13,environmental-science,Master of Environmental Management - Environmental Management C,The University of New South Wales,"AUD 76,320",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Master-of-Environmental-Management-Environmental-Management-C/p/PRG-AU-00120046
14,environmental-science,Master of Environmental Management - Environmental Management B,The University of New South Wales,"AUD 57,240",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environmental-Management-Environmental-Management-B/p/PRG-AU-00337260
15,environmental-science,Master of Environment and Sustainability,Monash University,"AUD 89,000",https://www.idp.com/global/Categories/Monash-University/Master-of-Environment-and-Sustainability/p/PRG-AU-00228083
16,environmental-science,Master of Environmental Management and Development,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Environmental-Management-and-Development/p/PRG-AU-00120192
17,environmental-science,Master of Environment,The Australian National University,"AUD 93,820",https://www.idp.com/global/Categories/The-Australian-National-University/Master-of-Environment/p/PRG-AU-00120217
18,environmental-science,Master of Applied Science - Environmental Management,The University of Otago,,https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Applied-Science-Environmental-Management/p/PRG-NZ-00102871
19,environmental-science,Master of Disaster Management,The University of Auckland,"NZD 44,830",https://www.idp.com/global/Categories/The-University-of-Auckland/Master-of-Disaster-Management/p/PRG-NZ-00117544
20,environmental-science,Master of Science - Environmental Management,The University of Otago,"NZD 34,755",https://www.idp.com/global/Categories/The-University-of-Otago/Master-of-Science-Environmental-Management/p/PRG-NZ-00103113
21,environmental-science,Bachelor of Applied Science - Environmental Management,The University of Otago,"NZD 100,095",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Bachelor-of-Applied-Science-Environmental-Management/p/PRG-NZ-00103307
22,environmental-science,Bachelor of Applied Science - Agricultural Innovation,The University of Otago,"NZD 97,182",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Applied-Science-Agricultural-Innovation/p/PRG-NZ-00335788
23,environmental-science,Ontario College Diploma in Environmental Technician,Sheridan College Institute of Technology and Advanced Learning,"CAD 34,570",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Ontario-College-Diploma-in-Environmental-Technician/p/PRG-CA-00090780
24,environmental-science,Graduate Certificate of Disaster Risk Science and Sustainability,The Australian National University,"AUD 24,078",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Graduate-Certificate-of-Disaster-Risk-Science-and-Sustainability/p/PRG-AU-00332118
25,environmental-science,Master of Science in Energy Systems (Online),Northeastern University,"USD 53,200",https://www.idp.com/global/Categories/Northeastern-University/Master-of-Science-in-Energy-Systems-Online/p/PRG-US-00362601
26,environmental-science,"UTP Stage II: Environment, Earth, and Resources",International College of Manitoba (Navitas) at University of Manitoba,"CAD 19,175",https://www.idp.com/global/Categories/International-College-of-Manitoba-%28Navitas%29-at-University-of-Manitoba/UTP-Stage-II-Environment-Earth-and-Resources/p/PRG-CA-00231547
27,environmental-science,Advanced Diploma in Environmental Technology,Fleming College,"CAD 48,178",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Advanced-Diploma-in-Environmental-Technology/p/PRG-CA-00104887
28,environmental-science,Master of Environment (2 years),Macquarie University,"AUD 77,600",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environment-2-years/p/PRG-AU-00100706
29,environmental-science,Master of Environment (1.5 years),Macquarie University,"AUD 58,200",https://www.idp.com/global/Categories/Macquarie-University/Master-of-Environment-15-years/p/PRG-AU-00334655
30,environmental-science,Master of Environment (1 year),Macquarie University,"AUD 38,800",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environment-1-year/p/PRG-AU-00334656
31,environmental-science,Master of Environmental Management - Sustainable Development,The University of Queensland,"AUD 82,080",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environmental-Management-Sustainable-Development/p/PRG-AU-00158694
32,environmental-science,"Bachelor of Engineering (Honours), Bachelor of Science - Photovoltaics and...",The University of New South Wales,"AUD 238,800",https://www.idp.com/global/Categories/The-University-of-New-South-Wales/Bachelor-of-Engineering-Honours-Bachelor-of-Science-Photovoltaics-and-Solar-Energy/p/PRG-AU-00291638
33,environmental-science,MSc River Environments and their Management,University of Birmingham,"GBP 24,480",https://www.idp.com/global/Categories/University-of-Birmingham/MSc-River-Environments-and-their-Management/p/PRG-UK-00114215
34,environmental-science,Master of Environmental Management - Resource and Environmental Economics,The University of Queensland,"AUD 82,080",https://www.idp.com/global/Categories/The-University-of-Queensland/Master-of-Environmental-Management-Resource-and-Environmental-Economics/p/PRG-AU-00158693
35,environmental-science,MSc in Marine Environmental Management - Ecology,University of Hull,"GBP 17,200",https://www.idp.com/global/Categories/Environmental-Science/Ecology/MSc-in-Marine-Environmental-Management-Ecology/p/PRG-UK-00322131
36,environmental-science,Environmental Management MSc,University of Aberdeen,"GBP 21,500",https://www.idp.com/global/Categories/University-of-Aberdeen/Environmental-Management-MSc/p/PRG-UK-00276129
37,environmental-science,MSc Environmental and Natural Resource Economics,University of Birmingham,"GBP 20,070",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/MSc-Environmental-and-Natural-Resource-Economics/p/PRG-UK-00073050
38,environmental-science,Sustainability Transitions MSc,University of Aberdeen,"GBP 18,400",https://www.idp.com/global/Categories/University-of-Aberdeen/Sustainability-Transitions-MSc/p/PRG-UK-00306682
39,environmental-science,"New Zealand Diploma in Environmental Management (Level 6), Marine Strand",Toi Ohomai Institute of Technology,"NZD 19,950",https://www.idp.com/global/Categories/Toi-Ohomai-Institute-of-Technology/New-Zealand-Diploma-in-Environmental-Management-Level-6-Marine-Strand/p/PRG-NZ-00277165
40,environmental-science,Graduate Certificate in Applied Planning - Environmental,Fleming College,"CAD 21,321",https://www.idp.com/global/Categories/Fleming-College/Graduate-Certificate-in-Applied-Planning-Environmental/p/PRG-CA-00251798
41,environmental-science,Master of Environmental Planning,The University of Waikato,"NZD 35,980",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Environmental-Planning/p/PRG-NZ-00073955
42,environmental-science,Postgraduate Diploma in Water Resource Management,Lincoln University,"NZD 31,200",https://www.idp.com/global/Categories/Lincoln-University/Postgraduate-Diploma-in-Water-Resource-Management/p/PRG-NZ-00102322
43,environmental-science,Bachelor of Science - Ecology,The University of Otago,"NZD 100,095",https://www.idp.com/global/Categories/The-University-of-Otago/Bachelor-of-Science-Ecology/p/PRG-NZ-00103205
44,environmental-science,Postgraduate Diploma in Environmental Management,Lincoln University,"NZD 29,266",https://www.idp.com/global/Categories/Lincoln-University/Postgraduate-Diploma-in-Environmental-Management/p/PRG-NZ-00199080
45,environmental-science,Master of Wildlife Management,The University of Otago,"NZD 52,132",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Wildlife-Management/p/PRG-NZ-00199075
46,environmental-science,Master of Sustainable Development Goals (Global Development),Massey University,"NZD 49,905",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Master-of-Sustainable-Development-Goals-Global-Development/p/PRG-NZ-00341385
47,environmental-science,"New Zealand Diploma in Environmental Management (Level 5), Terrestrial Str...",Toi Ohomai Institute of Technology,"NZD 19,950",https://www.idp.com/global/Categories/Toi-Ohomai-Institute-of-Technology/New-Zealand-Diploma-in-Environmental-Management-Level-5-Terrestrial-Strand/p/PRG-NZ-00299020
48,environmental-science,Postgraduate Certificate in Emergency Management,AUT,"NZD 19,001",https://www.idp.com/global/Categories/AUT/Postgraduate-Certificate-in-Emergency-Management/p/PRG-NZ-00302881
49,environmental-science,Bachelor of Science - Environmental Studies,Victoria University of Wellington,"NZD 83,135",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Science-Environmental-Studies/p/PRG-NZ-00199439
50,environmental-science,Postgraduate Diploma in Science - Ecological Restoration,Victoria University of Wellington,"NZD 35,237",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Postgraduate-Diploma-in-Science-Ecological-Restoration/p/PRG-NZ-00300873
51,environmental-science,Bachelor of Science - Renewable Energy Systems,Victoria University of Wellington,"NZD 95,134",https://www.idp.com/global/Categories/Victoria-University-of-Wellington/Bachelor-of-Science-Renewable-Energy-Systems/p/PRG-NZ-00330010
52,environmental-science,Graduate Certificate in Ecosystem Restoration,Niagara College,"CAD 19,000",https://www.idp.com/global/Categories/Niagara-College/Graduate-Certificate-in-Ecosystem-Restoration/p/PRG-CA-00086410
53,environmental-science,Postgraduate Diploma in Water Resource Management,University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/University-of-Canterbury/Postgraduate-Diploma-in-Water-Resource-Management/p/PRG-NZ-00074704
54,environmental-science,Bachelor of Science,Lincoln University,"NZD 95,400",https://www.idp.com/global/Categories/Environmental-Science/Environmental-Studies/Bachelor-of-Science/p/PRG-NZ-00074724
55,environmental-science,Postgraduate Diploma in Applied Science - Environmental Management,The University of Otago,"NZD 34,755",https://www.idp.com/global/Categories/The-University-of-Otago/Postgraduate-Diploma-in-Applied-Science-Environmental-Management/p/PRG-NZ-00198673
56,environmental-science,"Master of Science in Disaster, Risk and Resilience",University of Canterbury,"NZD 39,500",https://www.idp.com/global/Categories/University-of-Canterbury/Master-of-Science-in-Disaster-Risk-and-Resilience/p/PRG-NZ-00231533
